HDR|TransactionDetails|20250515|Start
10000Kristin Williams    98198381947122496digital cards                 000018519.42 11102023 18:16:12
10001Sarah Adams         78672253772866808RTGS                          000043952.23 29122024 02:05:32
10002Gabriel Clark       64338155041390894mobile wallets                000038327.01 18112024 23:26:23
10003Jacqueline Cooper   49106539737861482NEFT                          000008013.89 29092024 04:22:44
10004Taylor Evans        34619814595971146ATM Transactions              000028325.81 18072024 21:23:14
10005Brandon Rivera      77950326457869668digital cards                 000034742.11 02032024 01:17:55
10006Ian Clark           95212710444616867RTGS                          000011926.22 25062023 05:49:53
10007Brianna Ramirez     69030876862628421IMPS                          000020100.39 16032024 20:34:57
10008Sara Shepherd       53753640478775594IMPS                          000030390.27 05042025 17:50:15
10009Mark Kelly          63223834693750336mobile wallets                000018781.19 03062024 06:22:44
10010David Conway        52379767417474155NEFT                          000021722.72 19052024 01:01:17
10011Nathan Chase        70892083572444861RTGS                          000002299.37 23052024 01:22:02
10012Angel Murillo       22066288797799925digital cards                 000028702.90 19012025 15:50:13
10013Christopher Walls   60405785981778914mobile wallets                000004379.16 05052024 06:47:04
10014Kevin Brown         19149129309724386ATM Transactions              000040935.80 14112024 06:30:35
10015Leslie Horn         52934198704897256mobile wallets                000014257.09 22082024 16:54:17
10016Lisa Rodriguez MD   55313951804958470NEFT                          000048191.80 13112024 05:22:35
10017Christopher Cross   50047737133134843ATM Transactions              000038148.00 30032024 14:29:14
10018Jeffrey Stein       39852645779410773IMPS                          000007566.46 26122024 12:48:36
10019Ryan Mcdonald       32887547475534862UPI                           000008602.87 07052024 05:39:47
10020Gregory Sanchez     77182634674478921ATM Transactions              000014123.05 20122023 16:33:38
10021Sarah Jackson       64358594925039022digital cards                 000029190.25 14082024 06:03:36
10022Barbara Dixon       60216689439253316NEFT                          000017977.01 10102023 09:30:45
10023Fernando Griffith   60445584424624935RTGS                          000041504.38 03112023 21:30:35
10024Renee Baker         92876084435008794Cheque                        000046336.69 31032024 04:10:36
10025Devon Green         31858133335134681ATM Transactions              000026195.93 18022024 09:43:47
10026Marc Williams       62158173462174031mobile wallets                000011936.31 05022024 09:10:35
10027Lori Wallace        86465284526536589Direct Deposit                000011946.04 18092023 11:48:44
10028Bryan Graham        28838591064074641IMPS                          000025351.53 10122024 18:04:16
10029Michael Edwards     84501948916946370IMPS                          000014060.18 27012024 15:03:27
10030Shawn Coleman       29542795870076175NEFT                          000036384.21 12102024 08:17:37
10031Dustin Collins      30660051001992974IMPS                          000017646.91 14082024 23:22:26
10032Patricia Stanley MD 11678113793900408ATM Transactions              000036443.20 21102023 04:29:35
10033Anne Ortiz          87143484903430088IMPS                          000003055.39 19122024 07:59:57
10034Alexandra Flowers   61375560759000582Direct Deposit                000009578.06 22102023 23:34:56
10035Claire Bruce        98070397966490901UPI                           000004546.51 12112023 17:04:37
10036Mark Morton         20619546937642052RTGS                          000013527.48 03022024 22:27:36
10037Joseph Clark        81792313520906876IMPS                          000049721.36 04082024 08:13:47
10038Patrick Diaz        61326682842716134Cheque                        000020537.95 03102023 23:00:37
10039Gregory Burch       74962037073082234mobile wallets                000037852.35 04062024 08:15:15
10040Jamie Payne         93399873713546999RTGS                          000039784.87 23052023 17:45:48
10041Angela Powell       87363925234217490NEFT                          000048907.71 28032025 14:02:46
10042Daniel Long         99235629669156113mobile wallets                000046941.60 02062023 21:42:05
10043Denise Mitchell     54858438824173893Cheque                        000010717.85 06052024 08:50:07
10044Victoria Sanchez    98238941505451320Direct Deposit                000006976.58 04082024 21:57:08
10045Paul Jackson        88210684520416013IMPS                          000008638.31 12102023 02:18:19
10046Marc Palmer         72604570812295843ATM Transactions              000047163.04 22042025 14:02:26
10047Bradley Franklin    49117147793310273Direct Deposit                000025654.15 16012025 08:35:15
10048Patrick Walker      10596373528029235UPI                           000026671.47 27072023 10:10:14
10049Kimberly Dougherty  67777184916551143digital cards                 000030332.21 20072023 19:26:13
TRL|TransactionDetails|50|End
